# Ứng viên bảng thuật ngữ, rút từ corpus nmi.vn.
# CẦN NGƯỜI DUYỆT: một thuật ngữ dịch sai ở đây đi vào MỌI video sau đó.
#
# term_src: thuật ngữ tiếng Anh xuất hiện trong câu tiếng Việt của nmi.vn
# term_vi:  ĐIỀN TAY. Để trống hoặc ghi lại chính term_src nghĩa là
#           'giữ nguyên tiếng Anh' — cũng là một quyết định hợp lệ và
#           thường là đúng với Cpk, MES, OPC UA.
# domain:   spc | msa | mes | historian | vision | connectivity
#
term_src	term_vi	domain	so_lan	vi_du
PLC			107	Q One SPC là module chất lượng, không phải module kết nối thiết bị. Nó mạnh ở đường đo lường — thước, máy CMM và file — chứ không nói chuyện trực tiếp với PLC. 
MES			63	Q One SPC là module chất lượng, không phải module kết nối thiết bị. Nó mạnh ở đường đo lường — thước, máy CMM và file — chứ không nói chuyện trực tiếp với PLC. 
AI			47	Khi khâu kiểm tra ngoại quan cần thay bằng phán định AI tại trạm.
SPC			42	Bảng kế hoạch lấy mẫu AQL kèm catalog defect-mode và catalog quy tắc SPC.
ERP			42	Chưa có connector dựng sẵn cho ERP hay SAP.
CMM			35	Có nhiều máy CMM khác hãng và mỗi máy có phần mềm riêng.
REST			32	Nhập tay trên web; thước điện tử Mitutoyo U-WAVE qua cổng COM RS-232; thu tại trình duyệt qua Web Serial; upload file CMM/Excel/CSV/TXT theo profile; tự động im
VA			31	VA và Vision đều là thị giác máy nhưng giải hai bài toán khác nhau. Chọn đúng module quan trọng hơn chọn nhiều module.
GPU			26	Nạp nhiều camera RTSP cùng lúc, giải mã bằng GPU hoặc CPU tùy cấu hình, có chế độ tự chọn và có điều khiển tốc độ khung hình riêng cho từng camera.
NG			22	Tạo yêu cầu, ghi giá trị đơn lẻ hoặc hàng loạt, ghi thông tin NG, trạng thái phê duyệt, xuất Excel và PDF, xuất theo tuần.
Gage R&R			22	Gage R&R crossed (trung bình – khoảng biến thiên), ndc, MSA correlation
RTSP			21	Bảy giao thức có driver thật: OPC UA, Modbus TCP và RTU, Siemens S7, Mitsubishi MELSEC MC, Allen-Bradley EtherNet/IP, MQTT, và REST/HTTP polling. OPC DA Classic
MSA			18	Gage R&R crossed (trung bình – khoảng biến thiên), ndc, MSA correlation
REST API			17	Xuất Excel và PDF; REST API qua gateway
Cpk			15	Cp, Cpk, Pp, Ppk, Cpm, mức sigma và PPM không phù hợp. Có hiệu chỉnh chệch c4 và dùng hàm phân phối chuẩn để quy đổi PPM.
IP			15	OPC UA (cả đọc theo chu kỳ và đăng ký theo sự kiện), Modbus TCP và RTU, Siemens S7, Mitsubishi MELSEC MC, Allen-Bradley EtherNet/IP, MQTT, và REST/HTTP polling.
OPC UA			14	Không có driver OPC UA. Kết nối PLC là phạm vi của Q One MES.
SQL			13	Dữ liệu nằm trong SQL Server theo schema riêng, nên hệ BI hoặc báo cáo sẵn có của nhà máy đọc trực tiếp được.
OEE			13	Chưa có tính toán OEE. Không có entity lý do dừng máy và không có endpoint OEE.
RS-232			12	Serial RS-232 — thước điện tử
MQTT			12	OPC UA (cả đọc theo chu kỳ và đăng ký theo sự kiện), Modbus TCP và RTU, Siemens S7, Mitsubishi MELSEC MC, Allen-Bradley EtherNet/IP, MQTT, và REST/HTTP polling.
WBS			12	Tách WBS
WAVE			11	Nhập tay trên web; thước điện tử Mitutoyo U-WAVE qua cổng COM RS-232; thu tại trình duyệt qua Web Serial; upload file CMM/Excel/CSV/TXT theo profile; tự động im
BI			11	Dữ liệu nằm trong SQL Server theo schema riêng, nên hệ BI hoặc báo cáo sẵn có của nhà máy đọc trực tiếp được.
TCP			10	OPC UA (cả đọc theo chu kỳ và đăng ký theo sự kiện), Modbus TCP và RTU, Siemens S7, Mitsubishi MELSEC MC, Allen-Bradley EtherNet/IP, MQTT, và REST/HTTP polling.
ISA-95			10	Xem toàn bộ luồng dữ liệu theo mô hình ISA-95.
CSV			9	Nhập tay trên web; thước điện tử Mitutoyo U-WAVE qua cổng COM RS-232; thu tại trình duyệt qua Web Serial; upload file CMM/Excel/CSV/TXT theo profile; tự động im
MELSEC MC			9	OPC UA (cả đọc theo chu kỳ và đăng ký theo sự kiện), Modbus TCP và RTU, Siemens S7, Mitsubishi MELSEC MC, Allen-Bradley EtherNet/IP, MQTT, và REST/HTTP polling.
CPU			9	Nạp nhiều camera RTSP cùng lúc, giải mã bằng GPU hoặc CPU tùy cấu hình, có chế độ tự chọn và có điều khiển tốc độ khung hình riêng cho từng camera.
NVIDIA			9	NVIDIA — bắt buộc cho cấu hình đã ship
CRM PM			9	Q One CRM PM chạy trên hạ tầng riêng: xác thực riêng, gateway riêng và cơ sở dữ liệu riêng, không dùng chung với bốn module xưởng. Chúng tôi không mô tả các tíc
GRR			8	Phương pháp trung bình – khoảng biến thiên: EV, AV, GRR, PV, TV, phần trăm đóng góp của từng thành phần, ndc, R̄̄, X̄diff, Rp, UCL_R và kết luận đạt / cận biên 
USB			8	Dongle USB gắn tại máy chủ
CRM			8	Không có tính năng CRM bán hàng. Không lead, không cơ hội, không giao dịch, không pipeline, không giai đoạn bán hàng, không chiến dịch, không phiếu hỗ trợ, khôn
IT			8	Chúng tôi sẵn sàng trao đổi ở mức kiến trúc và giao thức với đội IT/OT của bạn, gồm cả những hạng mục Q One chưa làm được.
I-MR			7	X̄-R, X̄-S và I-MR với đường tâm, UCL/LCL và dải vùng ±1σ, ±2σ, ±3σ. Hằng số chuẩn dẫn nguồn AIAG và Montgomery cho n = 2 đến 25, có unit test kèm theo.
RTU			7	OPC UA (cả đọc theo chu kỳ và đăng ký theo sự kiện), Modbus TCP và RTU, Siemens S7, Mitsubishi MELSEC MC, Allen-Bradley EtherNet/IP, MQTT, và REST/HTTP polling.
X̄-R			6	X̄-R, X̄-S và I-MR với đường tâm, UCL/LCL và dải vùng ±1σ, ±2σ, ±3σ. Hằng số chuẩn dẫn nguồn AIAG và Montgomery cho n = 2 đến 25, có unit test kèm theo.
X̄-S			6	X̄-R, X̄-S và I-MR với đường tâm, UCL/LCL và dải vùng ±1σ, ±2σ, ±3σ. Hằng số chuẩn dẫn nguồn AIAG và Montgomery cho n = 2 đến 25, có unit test kèm theo.
EV			6	Phương pháp trung bình – khoảng biến thiên: EV, AV, GRR, PV, TV, phần trăm đóng góp của từng thành phần, ndc, R̄̄, X̄diff, Rp, UCL_R và kết luận đạt / cận biên 
AV			6	Phương pháp trung bình – khoảng biến thiên: EV, AV, GRR, PV, TV, phần trăm đóng góp của từng thành phần, ndc, R̄̄, X̄diff, Rp, UCL_R và kết luận đạt / cận biên 
PV			6	Phương pháp trung bình – khoảng biến thiên: EV, AV, GRR, PV, TV, phần trăm đóng góp của từng thành phần, ndc, R̄̄, X̄diff, Rp, UCL_R và kết luận đạt / cận biên 
NET			6	11 microservice .NET 8 theo Clean Architecture và DDD, mỗi service một solution riêng, tất cả nằm sau một API Gateway. Giao diện Vue 3 có sẵn song ngữ Việt – An
DDD			6	11 microservice .NET 8 theo Clean Architecture và DDD, mỗi service một solution riêng, tất cả nằm sau một API Gateway. Giao diện Vue 3 có sẵn song ngữ Việt – An
OT			6	Chúng tôi sẵn sàng trao đổi ở mức kiến trúc và giao thức với đội IT/OT của bạn, gồm cả những hạng mục Q One chưa làm được.
Cp			5	Cp, Cpk, Pp, Ppk, Cpm, mức sigma và PPM không phù hợp. Có hiệu chỉnh chệch c4 và dùng hàm phân phối chuẩn để quy đổi PPM.
PPM			5	Cp, Cpk, Pp, Ppk, Cpm, mức sigma và PPM không phù hợp. Có hiệu chỉnh chệch c4 và dùng hàm phân phối chuẩn để quy đổi PPM.
SMC			5	Quy trình hai bước preview rồi confirm theo profile upload. Có sẵn profile cho Zeiss, Hexagon, Accretech, Mitutoyo MCOSMOS, Astemo và SMC.
TV			5	Phương pháp trung bình – khoảng biến thiên: EV, AV, GRR, PV, TV, phần trăm đóng góp của từng thành phần, ndc, R̄̄, X̄diff, Rp, UCL_R và kết luận đạt / cận biên 
